Program,Semester,Day,StartTime,EndTime,Course,Room
FA25-CHE-A,2,Mo,10:00,11:30,Chemical Process Principles,A-6
FA25-CHE-A,2,Tu,08:30,11:30,Chemistry / Physical Chemistry Lab,A-3
FA25-CHE-A,2,Tu,11:30,13:00,Chemical Process Principles,A-10
FA25-CHE-A,2,We,10:00,11:30,Civics and Community Engagement,A-3
FA25-CHE-A,2,We,13:00,14:30,Expository Writing,A-3
FA25-CHE-A,2,Th,11:30,14:30,Lab-Year 1 Project,K1-Lab
FA25-CHE-A,2,Th,14:30,16:00,Chemistry I,A-10
FA25-CHE-A,2,Fr,08:30,10:00,Calculus II,A-6
FA25-CHE-A,2,Fr,11:30,13:00,Expository Writing,A-10
FA25-CHE-A,2,Sa,08:30,10:00,Online-Islamic Studies,Online
FA25-CHE-B,2,Mo,08:30,10:00,Chemical Process Principles,A-6
FA25-CHE-B,2,Tu,08:30,10:00,Chemical Process Principles,A-10
FA25-CHE-B,2,Tu,11:30,14:30,Chemistry / Physical Chemistry Lab,A-3
FA25-CHE-B,2,We,10:00,11:30,Civics and Community Engagement,A-3
FA25-CHE-B,2,We,13:00,14:30,Expository Writing,A-3
FA25-CHE-B,2,Th,11:30,14:30,Lab-Year 1 Project,K1-Lab
FA25-CHE-B,2,Fr,08:30,10:00,Calculus II,A-6
FA24-CHE-A,4,Mo,13:00,14:30,Transport Phenomena,A-3
FA24-CHE-A,4,Tu,08:30,10:00,Fundamentals of Sociology,A-2
FA24-CHE-A,4,Tu,13:00,14:30,Introduction to Computer Programming,A-3
FA24-CHE-A,4,We,08:30,10:00,Particulate Technology,A-3
FA24-CHE-A,4,We,12:00,13:30,Transport Phenomena,D-5
FA24-CHE-A,4,Th,11:30,14:30,Lab-Introduction to Computer Programming,SE Lab-H (C-7)
FA24-CHE-A,4,Fr,08:30,10:00,Thermodynamics-I for Chemical Engineers,A-3
FA25-BCH-A,2,Mo,11:30,14:30,Lab-Organic Chemistry,D-114
FA25-BCH-A,2,Mo,14:30,16:00,Fehm-e-Quran-1,Seminar Hall
FA25-BCH-A,2,Tu,10:00,11:30,Expository Writing,D-114
FA25-BCH-A,2,Tu,11:30,13:00,Organic Chemistry,D-114
FA25-BCH-A,2,Tu,13:00,14:30,Tools for Quantitative Reasoning,A-10
